distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,distance_labels,consume_labels
28.0,5.0,26,21.93491124260355,12,E10,0,0,0,<50,"4.7-5,3"
12.0,4.2,30,21.93491124260355,13,E10,0,0,0,<50,<4.7
11.2,5.5,38,21.93491124260355,15,E10,0,0,0,<50,5.3-8
12.9,3.9,36,21.93491124260355,14,E10,0,0,0,<50,<4.7
18.5,4.5,46,21.93491124260355,15,E10,0,0,0,<50,<4.7
8.3,6.4,50,21.93491124260355,10,E10,0,0,0,<50,5.3-8
7.8,4.4,43,21.93491124260355,11,E10,0,0,0,<50,<4.7
12.3,5.0,40,21.93491124260355,6,E10,0,0,0,<50,"4.7-5,3"
4.9,6.4,26,21.93491124260355,4,E10,0,0,0,<50,5.3-8
11.9,5.3,30,21.93491124260355,9,E10,0,0,0,<50,"4.7-5,3"
12.4,5.6,42,21.93491124260355,4,E10,0,0,0,<50,5.3-8
11.8,4.6,38,21.93491124260355,0,E10,0,0,0,<50,<4.7
12.3,5.9,59,21.93491124260355,10,E10,0,0,0,<50,5.3-8
24.7,5.1,58,21.93491124260355,12,E10,0,0,0,<50,"4.7-5,3"
12.4,4.7,46,21.93491124260355,11,E10,0,0,0,<50,<4.7
17.3,5.1,24,21.93491124260355,5,E10,0,0,0,<50,"4.7-5,3"
33.4,5.6,36,21.93491124260355,3,E10,0,0,0,<50,5.3-8
11.8,5.1,32,21.93491124260355,3,E10,0,0,0,<50,"4.7-5,3"
25.9,4.9,39,21.93491124260355,8,E10,0,0,0,<50,"4.7-5,3"
11.8,4.7,40,21.93491124260355,4,E10,0,0,0,<50,<4.7
25.3,5.5,32,21.93491124260355,3,E10,0,0,0,<50,5.3-8
14.2,5.9,38,21.93491124260355,1,E10,0,0,0,<50,5.3-8
17.9,5.7,37,21.93491124260355,1,E10,0,0,0,<50,5.3-8
11.8,4.7,36,21.93491124260355,1,E10,0,0,0,<50,<4.7
12.3,5.9,62,21.93491124260355,6,E10,0,0,0,<50,5.3-8
12.4,4.1,57,21.93491124260355,9,E10,0,0,0,<50,<4.7
18.4,5.7,21,21.93491124260355,2,E10,0,0,0,<50,5.3-8
18.4,5.8,28,21.93491124260355,3,E10,0,0,0,<50,5.3-8
18.3,5.5,29,21.93491124260355,1,E10,0,0,0,<50,5.3-8
18.4,5.7,35,21.93491124260355,4,E10,0,0,0,<50,5.3-8
12.3,5.3,51,21.93491124260355,11,E10,0,0,0,<50,"4.7-5,3"
11.8,5.0,29,21.93491124260355,10,E10,0,0,0,<50,"4.7-5,3"
12.3,5.6,58,21.93491124260355,8,E10,0,0,0,<50,5.3-8
32.6,4.8,40,21.93491124260355,7,E10,0,0,0,<50,"4.7-5,3"
19.0,4.3,36,21.93491124260355,7,E10,0,0,0,<50,<4.7
12.1,5.7,36,21.93491124260355,8,E10,0,0,0,<50,5.3-8
20.0,5.2,37,21.93491124260355,4,E10,0,0,0,<50,"4.7-5,3"
4.9,7.4,26,21.93491124260355,6,E10,0,0,0,<50,5.3-8
11.8,4.8,23,21.93491124260355,9,E10,0,0,0,<50,"4.7-5,3"
12.3,6.5,58,21.93491124260355,7,E10,0,0,0,<50,5.3-8
12.4,4.0,55,21.93491124260355,7,E10,1,1,0,<50,<4.7
4.5,5.0,29,21.93491124260355,7,E10,1,0,0,<50,"4.7-5,3"
11.7,4.6,37,21.93491124260355,6,E10,0,0,0,<50,<4.7
10.2,4.3,44,21.93491124260355,7,E10,0,0,0,<50,<4.7
5.4,3.3,32,21.93491124260355,7,SP98,0,0,0,<50,
2.0,9.9,21,21.93491124260355,4,SP98,0,0,0,<50,8-12.2
14.2,5.1,32,21.93491124260355,7,SP98,0,0,0,<50,"4.7-5,3"
16.0,4.9,25,21.93491124260355,8,SP98,0,0,0,<50,"4.7-5,3"
11.8,4.9,25,21.93491124260355,11,SP98,0,0,0,<50,"4.7-5,3"
27.3,4.7,36,21.93491124260355,10,SP98,0,0,0,<50,<4.7
11.8,5.1,29,21.93491124260355,5,SP98,0,1,0,<50,"4.7-5,3"
10.6,4.9,63,21.93491124260355,6,SP98,0,0,0,<50,"4.7-5,3"
11.6,4.2,61,21.93491124260355,7,SP98,0,0,0,<50,<4.7
13.1,6.1,46,21.93491124260355,6,SP98,0,1,0,<50,5.3-8
6.1,6.4,28,21.93491124260355,8,SP98,0,0,0,<50,5.3-8
153.5,4.9,82,21.93491124260355,3,SP98,0,1,0,150-216.1,"4.7-5,3"
11.8,4.9,24,21.93491124260355,7,SP98,0,0,0,<50,"4.7-5,3"
12.3,6.2,61,21.93491124260355,8,SP98,0,0,0,<50,5.3-8
12.4,4.2,57,21.93491124260355,8,SP98,0,0,0,<50,<4.7
12.3,5.7,52,21.93491124260355,8,SP98,0,1,0,<50,5.3-8
2.9,7.9,18,21.93491124260355,9,SP98,1,1,0,<50,5.3-8
2.1,12.2,23,21.93491124260355,9,SP98,1,1,0,<50,8-12.2
9.8,5.8,24,21.93491124260355,6,SP98,0,0,0,<50,5.3-8
6.8,5.3,26,21.93491124260355,6,SP98,0,0,0,<50,"4.7-5,3"
12.4,5.4,24,21.93491124260355,7,SP98,0,0,0,<50,5.3-8
12.4,4.7,57,21.93491124260355,8,SP98,0,0,0,<50,<4.7
11.8,4.6,41,21.93491124260355,6,SP98,0,0,0,<50,<4.7
12.3,5.4,55,21.93491124260355,8,SP98,0,0,0,<50,5.3-8
14.0,4.3,40,21.93491124260355,8,SP98,0,0,0,<50,<4.7
11.8,4.5,37,21.93491124260355,4,SP98,1,0,0,<50,<4.7
12.3,5.2,55,21.93491124260355,12,SP98,0,0,0,<50,"4.7-5,3"
2.0,6.2,20,21.93491124260355,10,SP98,0,0,0,<50,5.3-8
13.9,5.1,29,21.93491124260355,6,SP98,0,0,0,<50,"4.7-5,3"
